seed dt integration_type
0 1.1e-07 "Fincham1992"
1 1.1e-07 "Fincham1992"
2 1.1e-07 "Fincham1992"
3 1.1e-07 "Fincham1992"
4 1.1e-07 "Fincham1992"
5 1.1e-07 "Fincham1992"
6 1.1e-07 "Fincham1992"
7 1.1e-07 "Fincham1992"
8 1.1e-07 "Fincham1992"
9 1.1e-07 "Fincham1992"
10 1.1e-07 "Fincham1992"
11 1.1e-07 "Fincham1992"
12 1.1e-07 "Fincham1992"
13 1.1e-07 "Fincham1992"
14 1.1e-07 "Fincham1992"
15 1.1e-07 "Fincham1992"
16 1.1e-07 "Fincham1992"
17 1.1e-07 "Fincham1992"
18 1.1e-07 "Fincham1992"
19 1.1e-07 "Fincham1992"
20 1.1e-07 "Fincham1992"
21 1.1e-07 "Fincham1992"
22 1.1e-07 "Fincham1992"
23 1.1e-07 "Fincham1992"
24 1.1e-07 "Fincham1992"
25 1.1e-07 "Fincham1992"
26 1.1e-07 "Fincham1992"
27 1.1e-07 "Fincham1992"
28 1.1e-07 "Fincham1992"
29 1.1e-07 "Fincham1992"
30 1.1e-07 "Fincham1992"
31 1.1e-07 "Fincham1992"
32 1.1e-07 "Fincham1992"
33 1.1e-07 "Fincham1992"
34 1.1e-07 "Fincham1992"
35 1.1e-07 "Fincham1992"
36 1.1e-07 "Fincham1992"
37 1.1e-07 "Fincham1992"
38 1.1e-07 "Fincham1992"
39 1.1e-07 "Fincham1992"
40 1.1e-07 "Fincham1992"
41 1.1e-07 "Fincham1992"
42 1.1e-07 "Fincham1992"
43 1.1e-07 "Fincham1992"
44 1.1e-07 "Fincham1992"
45 1.1e-07 "Fincham1992"
46 1.1e-07 "Fincham1992"
47 1.1e-07 "Fincham1992"
48 1.1e-07 "Fincham1992"
49 1.1e-07 "Fincham1992"
0 1.93117038e-07 "Fincham1992"
1 1.93117038e-07 "Fincham1992"
2 1.93117038e-07 "Fincham1992"
3 1.93117038e-07 "Fincham1992"
4 1.93117038e-07 "Fincham1992"
5 1.93117038e-07 "Fincham1992"
6 1.93117038e-07 "Fincham1992"
7 1.93117038e-07 "Fincham1992"
8 1.93117038e-07 "Fincham1992"
9 1.93117038e-07 "Fincham1992"
10 1.93117038e-07 "Fincham1992"
11 1.93117038e-07 "Fincham1992"
12 1.93117038e-07 "Fincham1992"
13 1.93117038e-07 "Fincham1992"
14 1.93117038e-07 "Fincham1992"
15 1.93117038e-07 "Fincham1992"
16 1.93117038e-07 "Fincham1992"
17 1.93117038e-07 "Fincham1992"
18 1.93117038e-07 "Fincham1992"
19 1.93117038e-07 "Fincham1992"
20 1.93117038e-07 "Fincham1992"
21 1.93117038e-07 "Fincham1992"
22 1.93117038e-07 "Fincham1992"
23 1.93117038e-07 "Fincham1992"
24 1.93117038e-07 "Fincham1992"
25 1.93117038e-07 "Fincham1992"
26 1.93117038e-07 "Fincham1992"
27 1.93117038e-07 "Fincham1992"
28 1.93117038e-07 "Fincham1992"
29 1.93117038e-07 "Fincham1992"
30 1.93117038e-07 "Fincham1992"
31 1.93117038e-07 "Fincham1992"
32 1.93117038e-07 "Fincham1992"
33 1.93117038e-07 "Fincham1992"
34 1.93117038e-07 "Fincham1992"
35 1.93117038e-07 "Fincham1992"
36 1.93117038e-07 "Fincham1992"
37 1.93117038e-07 "Fincham1992"
38 1.93117038e-07 "Fincham1992"
39 1.93117038e-07 "Fincham1992"
40 1.93117038e-07 "Fincham1992"
41 1.93117038e-07 "Fincham1992"
42 1.93117038e-07 "Fincham1992"
43 1.93117038e-07 "Fincham1992"
44 1.93117038e-07 "Fincham1992"
45 1.93117038e-07 "Fincham1992"
46 1.93117038e-07 "Fincham1992"
47 1.93117038e-07 "Fincham1992"
48 1.93117038e-07 "Fincham1992"
49 1.93117038e-07 "Fincham1992"
0 3.06069879e-07 "Fincham1992"
1 3.06069879e-07 "Fincham1992"
2 3.06069879e-07 "Fincham1992"
3 3.06069879e-07 "Fincham1992"
4 3.06069879e-07 "Fincham1992"
5 3.06069879e-07 "Fincham1992"
6 3.06069879e-07 "Fincham1992"
7 3.06069879e-07 "Fincham1992"
8 3.06069879e-07 "Fincham1992"
9 3.06069879e-07 "Fincham1992"
10 3.06069879e-07 "Fincham1992"
11 3.06069879e-07 "Fincham1992"
12 3.06069879e-07 "Fincham1992"
13 3.06069879e-07 "Fincham1992"
14 3.06069879e-07 "Fincham1992"
15 3.06069879e-07 "Fincham1992"
16 3.06069879e-07 "Fincham1992"
17 3.06069879e-07 "Fincham1992"
18 3.06069879e-07 "Fincham1992"
19 3.06069879e-07 "Fincham1992"
20 3.06069879e-07 "Fincham1992"
21 3.06069879e-07 "Fincham1992"
22 3.06069879e-07 "Fincham1992"
23 3.06069879e-07 "Fincham1992"
24 3.06069879e-07 "Fincham1992"
25 3.06069879e-07 "Fincham1992"
26 3.06069879e-07 "Fincham1992"
27 3.06069879e-07 "Fincham1992"
28 3.06069879e-07 "Fincham1992"
29 3.06069879e-07 "Fincham1992"
30 3.06069879e-07 "Fincham1992"
31 3.06069879e-07 "Fincham1992"
32 3.06069879e-07 "Fincham1992"
33 3.06069879e-07 "Fincham1992"
34 3.06069879e-07 "Fincham1992"
35 3.06069879e-07 "Fincham1992"
36 3.06069879e-07 "Fincham1992"
37 3.06069879e-07 "Fincham1992"
38 3.06069879e-07 "Fincham1992"
39 3.06069879e-07 "Fincham1992"
40 3.06069879e-07 "Fincham1992"
41 3.06069879e-07 "Fincham1992"
42 3.06069879e-07 "Fincham1992"
43 3.06069879e-07 "Fincham1992"
44 3.06069879e-07 "Fincham1992"
45 3.06069879e-07 "Fincham1992"
46 3.06069879e-07 "Fincham1992"
47 3.06069879e-07 "Fincham1992"
48 3.06069879e-07 "Fincham1992"
49 3.06069879e-07 "Fincham1992"
0 4.96369887e-07 "Fincham1992"
1 4.96369887e-07 "Fincham1992"
2 4.96369887e-07 "Fincham1992"
3 4.96369887e-07 "Fincham1992"
4 4.96369887e-07 "Fincham1992"
5 4.96369887e-07 "Fincham1992"
6 4.96369887e-07 "Fincham1992"
7 4.96369887e-07 "Fincham1992"
8 4.96369887e-07 "Fincham1992"
9 4.96369887e-07 "Fincham1992"
10 4.96369887e-07 "Fincham1992"
11 4.96369887e-07 "Fincham1992"
12 4.96369887e-07 "Fincham1992"
13 4.96369887e-07 "Fincham1992"
14 4.96369887e-07 "Fincham1992"
15 4.96369887e-07 "Fincham1992"
16 4.96369887e-07 "Fincham1992"
17 4.96369887e-07 "Fincham1992"
18 4.96369887e-07 "Fincham1992"
19 4.96369887e-07 "Fincham1992"
20 4.96369887e-07 "Fincham1992"
21 4.96369887e-07 "Fincham1992"
22 4.96369887e-07 "Fincham1992"
23 4.96369887e-07 "Fincham1992"
24 4.96369887e-07 "Fincham1992"
25 4.96369887e-07 "Fincham1992"
26 4.96369887e-07 "Fincham1992"
27 4.96369887e-07 "Fincham1992"
