dt,RKq,Eulerq,Verletq,Bussq,Johnsonq,Finchamq,Omelyanq,MercuryDPMq,SPIRALLq,SPIRALq,SPIRALOq,RKw,Eulerw,Verletw,Bussw,Johnsonw,Finchamw,Omelyanw,MercuryDPMw,SPIRALLw,SPIRALw,SPIRALOw
1.0000000000000001e-7,5.718940593997871e-9,1.2465268212312146e-6,1.640226913702299e-7,3.599454774023655e-8,1.068763327056354e-6,3.536144603878626e-7,5.303550237370522e-9,1.0321842077572451e-5,5.296999841906208e-9,5.299294225935775e-9,5.300127112329924e-9,5.981463525667672e-10,2.6959427588457087e-7,1.348399734623333e-7,3.6608012454011794e-8,3.662065677695576e-8,3.038722357866309e-7,5.292082832723231e-10,1.7093194903948428e-6,5.290590593227694e-10,5.292751436385125e-10,5.297422912090531e-10
2.06913808111479e-7,2.4471736508360197e-9,2.570369840901946e-6,3.326467329265759e-7,7.919188088138053e-8,2.2207780952628727e-6,7.221171652630668e-7,2.236326952210646e-9,2.136065976124666e-5,2.2500922782624685e-9,2.2450722455562533e-9,2.248304827778937e-9,2.311881888159589e-10,5.571493014693268e-7,2.785724681555853e-7,7.567103402477763e-8,7.567631343021209e-8,6.283644049172417e-7,1.979405416926669e-10,3.5372240925885197e-6,1.9926876538677953e-10,1.9848617972900761e-10,1.9844301938390182e-10
4.281332398719396e-7,5.427713256524481e-10,5.314108648119025e-6,6.865395380716769e-7,1.663567215960829e-7,4.598378318926687e-6,1.4907976985750885e-6,4.0572870434394266e-10,4.419887846330591e-5,4.4846047316301954e-10,4.4209776178631215e-10,4.4345584677505684e-10,6.754904022979888e-11,1.1525725740314199e-6,5.762663895428742e-7,1.5654726120760208e-7,1.5655069888407433e-7,1.300023389536426e-6,5.033182697568065e-11,7.319237839612546e-6,5.214308759510943e-11,5.145000308695524e-11,5.017581032933748e-11
8.858667904100833e-7,5.487847923236394e-10,1.0994811802872744e-5,1.41983397476192e-6,3.4469165116478614e-7,9.515270065690996e-6,3.0840106509217026e-6,3.255529343542958e-10,9.145193618934171e-5,5.010453781375774e-10,4.96543803909359e-10,5.046819569139384e-10,5.1170382629252115e-11,2.384801366431357e-6,1.1923852686371142e-6,3.239084335271381e-7,3.239180272091917e-7,2.689842595453846e-6,3.7561530597646046e-11,1.5145108961660534e-5,4.309642819193469e-11,4.320252175097161e-11,3.775583386493811e-11
1.8329807108324375e-6,2.418462768694799e-10,2.274716092160923e-5,2.9364540566743678e-6,7.140416231069073e-7,1.9689405179575462e-5,6.3801054683068225e-6,1.0160695300102357e-9,0.00018921713947564229,2.632507011809979e-10,2.801806017632034e-10,2.531159639944091e-10,1.663831175297511e-11,4.93459746316238e-6,2.467219649230304e-6,6.70204001322635e-7,6.702424417399998e-7,5.565370956189747e-6,4.519136527028187e-11,3.133852509459706e-5,2.0385603039617455e-11,2.009987191144071e-11,4.514958755007338e-11
3.792690190732246e-6,1.3052508158384104e-10,4.706215806457175e-5,6.072722588983337e-6,1.4768080096935742e-6,4.073923656835052e-5,1.320180707163618e-5,3.1006108422026336e-9,0.00039147112797034277,1.3476297938053643e-10,2.1939934590095922e-10,1.6876949055671006e-10,6.886516051109201e-12,1.0211125778787055e-5,5.105208671378986e-6,1.3866204333069113e-6,1.3867835885612302e-6,1.1514529081872616e-5,1.0389612117835644e-10,6.484700522882858e-5,4.9823822388750425e-12,4.972380641310898e-12,1.025583917387077e-10
7.847599703514607e-6,1.22619666429064e-11,9.735269600413678e-5,1.2551024540781161e-5,3.0558447425755283e-6,8.42922355084744e-5,2.731591532767185e-5,1.3778813738949694e-8,0.000809848573894647,1.0439066369183669e-10,5.741052222005276e-10,4.648261087450152e-10,3.707644496127788e-12,2.1130873189672467e-5,1.0563906472463847e-5,2.8687199733476385e-6,2.8694181641566094e-6,2.3820610209274713e-5,4.5920565385277565e-10,0.0001342140673107486,2.7345843125417023e-12,2.5609053760649466e-12,4.535470537673106e-10
1.623776739188721e-5,1.8123133662429922e-12,0.00020132696346980499,2.5909448507951256e-5,6.323050366631747e-6,0.00017439693409482032,5.6520086237421244e-5,5.9027787012830616e-8,0.0016750373548689225,4.6391757494563365e-10,2.4440195502647634e-9,2.0111893240288364e-9,7.91345865257717e-13,4.37333917096148e-5,2.186012272011982e-5,5.934097685180718e-6,5.937088034169177e-6,4.9268592989280255e-5,1.9563899357274027e-9,0.0002778842234691529,6.370963335448151e-13,6.108275785979408e-13,1.9322303694287746e-9
3.359818286283781e-5,6.002613678872716e-12,0.00041612892097844334,5.334037884673977e-5,1.3077591830339495e-5,0.00036081731230660884,0.00011693835186492675,2.5270089540945763e-7,0.003462632306502827,1.9813018760153625e-9,1.0467785366239963e-8,8.60380171800706e-9,3.93629654901141e-13,9.054611075027744e-5,4.524489988693868e-5,1.227165246316335e-5,1.2284450963676012e-5,0.00010186230308963714,8.372153574533312e-9,0.0005754167559085149,2.5879056392702917e-12,2.5547122232119504e-12,8.268950339473693e-9
6.951927961775606e-5,3.4977758837963587e-12,0.000859097129031564,0.00010922635013645766,2.7042432207504615e-5,0.0007463960701282679,0.00024193149869650962,1.081763662971102e-6,0.007151412738098307,8.47714465947097e-9,4.483321849509171e-8,3.684393586389488e-8,1.5683475267213592e-13,0.00018757875287769645,9.366877988322161e-5,2.536209721697343e-5,2.541688588266353e-5,0.00021041710363071617,3.582276858149836e-8,0.0011928626088751379,2.202175129105446e-11,2.2053933974628956e-11,3.538094305310813e-8
