seed,dt,error
0,1.1e-07,9.19809885318677e-06
1,1.1e-07,9.059290594195412e-07
2,1.1e-07,4.343525620446881e-06
3,1.1e-07,7.685740648822671e-06
4,1.1e-07,8.22808029496762e-06
5,1.1e-07,1.653119351178427e-05
6,1.1e-07,7.474604547747651e-06
7,1.1e-07,5.030233575871345e-06
8,1.1e-07,1.6449604482761194e-05
9,1.1e-07,1.211017765239489e-06
10,1.1e-07,5.310500579369038e-06
11,1.1e-07,4.29706116092187e-06
12,1.1e-07,1.806562246593176e-05
13,1.1e-07,8.530042956766973e-06
14,1.1e-07,2.5707453592309305e-06
15,1.1e-07,1.0677878284227075e-05
16,1.1e-07,2.1302887442401516e-08
17,1.1e-07,4.264424375629892e-06
18,1.1e-07,2.07100920518174e-06
19,1.1e-07,3.616325904722553e-06
20,1.1e-07,8.875329619534492e-08
21,1.1e-07,9.621417501488596e-06
22,1.1e-07,1.5500484313911723e-05
23,1.1e-07,1.2652849170515556e-05
24,1.1e-07,4.286192825294983e-06
25,1.1e-07,1.0325127070608944e-05
26,1.1e-07,7.425839280465026e-06
27,1.1e-07,3.943265259231943e-06
28,1.1e-07,3.573766280206029e-05
29,1.1e-07,7.007833875156164e-06
30,1.1e-07,7.585931014559588e-06
31,1.1e-07,4.441185568846476e-06
32,1.1e-07,1.7836458400553303e-06
33,1.1e-07,2.7520830345345663e-06
34,1.1e-07,7.388224143636363e-06
35,1.1e-07,1.994786363107421e-06
36,1.1e-07,3.92264491088693e-06
37,1.1e-07,1.951729628774712e-05
38,1.1e-07,2.147785529659787e-06
39,1.1e-07,7.289523592922028e-06
40,1.1e-07,7.866065969303338e-07
41,1.1e-07,2.3052664718359578e-06
42,1.1e-07,1.0350753810265331e-05
43,1.1e-07,6.489580344489457e-06
44,1.1e-07,6.914757304536128e-07
45,1.1e-07,7.310778710784638e-06
46,1.1e-07,9.641806054362825e-06
47,1.1e-07,1.4811820632983568e-05
48,1.1e-07,3.67718057675322e-07
49,1.1e-07,7.156504091353691e-06
0,1.93117038e-07,1.0272925456054147e-07
1,1.93117038e-07,1.1288244151182516e-05
2,1.93117038e-07,7.202356889141525e-06
3,1.93117038e-07,7.0476946750553245e-06
4,1.93117038e-07,1.0496790190947817e-05
5,1.93117038e-07,6.3203189583064e-06
6,1.93117038e-07,1.1539241446602496e-05
7,1.93117038e-07,7.783270122595481e-07
8,1.93117038e-07,1.3265684701814765e-06
9,1.93117038e-07,2.174928949226117e-06
10,1.93117038e-07,7.457518227053554e-06
11,1.93117038e-07,6.247888957469164e-06
12,1.93117038e-07,1.9929105191743903e-06
13,1.93117038e-07,4.2240153046696e-06
14,1.93117038e-07,6.159718650674153e-06
15,1.93117038e-07,6.11444139900101e-06
16,1.93117038e-07,5.134100096611599e-06
17,1.93117038e-07,3.096812980320945e-06
18,1.93117038e-07,6.438515241481197e-06
19,1.93117038e-07,2.9737678043995237e-06
20,1.93117038e-07,5.48332187835307e-07
21,1.93117038e-07,1.5324061059458475e-05
22,1.93117038e-07,1.677283820261022e-06
23,1.93117038e-07,2.666966955949332e-06
24,1.93117038e-07,8.49211834579474e-07
25,1.93117038e-07,1.75084287236535e-06
26,1.93117038e-07,2.048470613886929e-05
27,1.93117038e-07,5.721564967869459e-07
28,1.93117038e-07,3.509863485541047e-06
29,1.93117038e-07,2.250260590917401e-06
30,1.93117038e-07,2.252815388255422e-06
31,1.93117038e-07,8.62112154229021e-06
32,1.93117038e-07,1.1658532283624618e-05
33,1.93117038e-07,1.8537089950139899e-07
34,1.93117038e-07,1.3508315591225238e-06
35,1.93117038e-07,1.1260922551593376e-06
36,1.93117038e-07,2.484442314498516e-06
37,1.93117038e-07,6.3208248638170384e-06
38,1.93117038e-07,5.293078634657121e-06
39,1.93117038e-07,6.438321953967658e-06
40,1.93117038e-07,4.78618750044736e-06
41,1.93117038e-07,3.77776864800501e-05
42,1.93117038e-07,1.3178576694629278e-05
43,1.93117038e-07,8.406338880127915e-06
44,1.93117038e-07,9.538518332459452e-06
45,1.93117038e-07,1.1809997249656307e-06
46,1.93117038e-07,5.122293533129746e-06
47,1.93117038e-07,3.0094722599993278e-06
48,1.93117038e-07,5.620519952114891e-06
49,1.93117038e-07,5.32466312968945e-06
0,3.06069879e-07,2.068105547684619e-06
1,3.06069879e-07,4.8115803543952174e-06
2,3.06069879e-07,2.6735596677747023e-06
3,3.06069879e-07,2.0441116643719304e-05
4,3.06069879e-07,2.3391604416684644e-06
5,3.06069879e-07,6.659075565399631e-06
6,3.06069879e-07,1.5022329377427362e-05
7,3.06069879e-07,8.577296349797533e-06
8,3.06069879e-07,1.105463641028623e-05
9,3.06069879e-07,1.5610526154779863e-06
10,3.06069879e-07,9.381151537656976e-06
11,3.06069879e-07,1.3149547608711868e-05
12,3.06069879e-07,8.342128730744476e-06
13,3.06069879e-07,2.125989561929752e-05
14,3.06069879e-07,4.2769282458238053e-07
15,3.06069879e-07,1.3196624877969756e-05
16,3.06069879e-07,1.7533391940277885e-06
17,3.06069879e-07,5.373285679427469e-06
18,3.06069879e-07,5.287338637870814e-06
19,3.06069879e-07,9.04637866880763e-06
20,3.06069879e-07,6.926104219638683e-06
21,3.06069879e-07,7.650573894138625e-06
22,3.06069879e-07,3.648312317748565e-06
23,3.06069879e-07,1.5037451312887285e-05
24,3.06069879e-07,1.159585630077424e-06
25,3.06069879e-07,3.6277346092922425e-06
26,3.06069879e-07,2.389010562546177e-05
27,3.06069879e-07,1.2414680785756472e-05
28,3.06069879e-07,3.4094618381683177e-06
29,3.06069879e-07,1.14525786600577e-05
30,3.06069879e-07,9.869873407681e-07
31,3.06069879e-07,9.786976906678902e-06
32,3.06069879e-07,1.4816384352724686e-05
33,3.06069879e-07,2.35226921647086e-05
34,3.06069879e-07,1.6843739695850742e-05
35,3.06069879e-07,1.5552046434671727e-05
36,3.06069879e-07,1.384141273516383e-05
37,3.06069879e-07,8.188234085026796e-06
38,3.06069879e-07,8.036010421391672e-06
39,3.06069879e-07,3.459203718718201e-06
40,3.06069879e-07,8.598965181790356e-07
41,3.06069879e-07,1.0008207755076116e-05
42,3.06069879e-07,2.6436242802597315e-05
43,3.06069879e-07,9.439573053990376e-06
44,3.06069879e-07,7.204357739488269e-06
45,3.06069879e-07,6.117858240975853e-06
46,3.06069879e-07,1.978519810057006e-05
47,3.06069879e-07,6.389970234465552e-06
48,3.06069879e-07,1.0265211968943671e-06
49,3.06069879e-07,2.6605034700989224e-05
0,4.96369887e-07,2.216524503709588e-05
1,4.96369887e-07,6.26444313743022e-05
2,4.96369887e-07,7.316445356779658e-05
3,4.96369887e-07,2.658295345526448e-05
4,4.96369887e-07,2.252386784155156e-05
5,4.96369887e-07,1.8293916975412532e-05
6,4.96369887e-07,1.6692916483789615e-05
7,4.96369887e-07,2.915205705132727e-05
8,4.96369887e-07,4.0348315752988894e-05
9,4.96369887e-07,1.4396070016417334e-05
10,4.96369887e-07,0.0001138224431969
11,4.96369887e-07,1.6366070068387973e-05
12,4.96369887e-07,4.066998707959834e-05
13,4.96369887e-07,9.514341640012058e-07
14,4.96369887e-07,2.1765179547609594e-05
15,4.96369887e-07,4.26453326512099e-05
