Method,TimeN,ErrorN,Time,Error
Direct Euler,1.0,0.23279356718706237,0.8097354573602021,0.053584639091509886
Omelyan,1.4855014150351111,0.23817322095774157,1.2828402574015676,0.0885118128762394
Velocity Verlet,1.0077240654117943,0.1695982301128761,0.8589457204776461,0.20678610125309457
Buss,1.8265994626482727,0.08950326249741515,1.6543751258630546,0.10233698389509946
Fincham LeapFrog,1.1978724915511811,0.2527300609752651,0.8105277363329387,0.06732599892197125
Johnson,2.809276275189641,0.43767652208160895,2.635757443186507,0.15385524444998352
MercuryDPM,2.0957142208423076,0.22346829615428196,1.501711542080834,0.1708326563003155
Runge-Kutta,1.7762833874382755,0.20150593138323605,1.6168693312349398,0.22613814834678936
del Valle et al.,1.3251917798883948,0.18414753176123777,1.369665488197038,0.2572362794256245
del Valle et al. LeapFrog,1.7087240953774698,0.23896356631634716,1.5205046949404928,0.08851189833646662
del Valle et al. + Omelyan LeapFrog,1.662293301193744,0.10347689372356857,1.4911092437763593,0.09242502123371978
