seed,dt,error
0,1.1e-07,2.4883889042893856e-06
1,1.1e-07,8.472718390407099e-07
2,1.1e-07,5.30868052609074e-06
3,1.1e-07,9.614923880527604e-07
4,1.1e-07,2.802774477805911e-07
5,1.1e-07,6.110105481187003e-06
6,1.1e-07,2.1184097531705798e-06
7,1.1e-07,1.1769707152309718e-06
8,1.1e-07,1.0558564941452012e-06
9,1.1e-07,1.960247920295893e-06
10,1.1e-07,3.3245270494718136e-07
11,1.1e-07,3.6452885108832335e-06
12,1.1e-07,1.3623963517713286e-06
13,1.1e-07,6.18405488094264e-07
14,1.1e-07,1.1617941616887144e-06
15,1.1e-07,6.617261582770698e-07
16,1.1e-07,1.6731333558174443e-08
17,1.1e-07,1.8611016561205916e-06
18,1.1e-07,1.189215565881952e-06
19,1.1e-07,3.735672787306445e-06
20,1.1e-07,3.3949999759984283e-06
21,1.1e-07,1.8996966216335808e-06
22,1.1e-07,4.52681820805673e-07
23,1.1e-07,8.97007975685232e-07
24,1.1e-07,3.292419638132201e-06
25,1.1e-07,1.9350501212170684e-06
26,1.1e-07,1.2115770312910551e-06
27,1.1e-07,3.078638906888999e-06
28,1.1e-07,2.316047952136514e-06
29,1.1e-07,1.1158895667898142e-06
30,1.1e-07,2.282173185301221e-06
31,1.1e-07,1.421307816434495e-06
32,1.1e-07,1.20887493166999e-06
33,1.1e-07,3.796243866755267e-06
34,1.1e-07,9.999407310348192e-07
35,1.1e-07,1.5408001829645276e-06
36,1.1e-07,2.684251505765261e-06
37,1.1e-07,8.638638186898043e-06
38,1.1e-07,3.1907241335924068e-06
39,1.1e-07,3.4730897628725534e-07
40,1.1e-07,1.3346391330401086e-06
41,1.1e-07,1.7522418871844073e-06
42,1.1e-07,2.8406304678022703e-06
43,1.1e-07,1.7626431651339543e-06
44,1.1e-07,1.3582279928533564e-08
45,1.1e-07,9.913873609058086e-06
46,1.1e-07,3.4055427953318565e-08
47,1.1e-07,1.4057365988150095e-06
48,1.1e-07,1.7087115814497286e-08
49,1.1e-07,1.5501200772639586e-06
0,1.93117038e-07,8.594115830211052e-07
1,1.93117038e-07,8.56660021237485e-06
2,1.93117038e-07,3.638757673494016e-06
3,1.93117038e-07,5.3452770883645945e-06
4,1.93117038e-07,2.775498251670363e-06
5,1.93117038e-07,6.677506264482557e-06
6,1.93117038e-07,1.8750861453748156e-06
7,1.93117038e-07,2.2377507219110837e-06
8,1.93117038e-07,9.136083549986976e-06
9,1.93117038e-07,3.508406283941056e-08
10,1.93117038e-07,6.386605172607972e-06
11,1.93117038e-07,3.163101097928436e-06
12,1.93117038e-07,4.790698811300508e-06
13,1.93117038e-07,3.167861113086193e-06
14,1.93117038e-07,7.42801280484246e-07
15,1.93117038e-07,2.3644698050629558e-07
16,1.93117038e-07,1.957825776582866e-06
17,1.93117038e-07,8.40007498139376e-07
18,1.93117038e-07,2.307092812821308e-06
19,1.93117038e-07,7.23750583432019e-06
20,1.93117038e-07,5.34493906463224e-06
21,1.93117038e-07,3.953196998408935e-06
22,1.93117038e-07,4.693313971783694e-07
23,1.93117038e-07,2.135386290309977e-06
24,1.93117038e-07,6.504145681924857e-06
25,1.93117038e-07,3.90725836492294e-06
26,1.93117038e-07,1.6244270436252128e-06
27,1.93117038e-07,8.568560209619564e-07
28,1.93117038e-07,1.0874940438300056e-05
29,1.93117038e-07,5.7629736143129794e-06
30,1.93117038e-07,2.63580944720724e-06
31,1.93117038e-07,3.979072017524862e-06
32,1.93117038e-07,5.517140565638982e-07
33,1.93117038e-07,1.2049077283962718e-05
34,1.93117038e-07,8.588533196039071e-07
35,1.93117038e-07,1.8584691121345635e-06
36,1.93117038e-07,2.262666372881305e-06
37,1.93117038e-07,6.212116152794327e-06
38,1.93117038e-07,1.1977945983526358e-08
39,1.93117038e-07,4.678611766260196e-06
40,1.93117038e-07,1.4094661097683618e-06
41,1.93117038e-07,2.245915088598593e-07
42,1.93117038e-07,3.045108825356773e-07
43,1.93117038e-07,3.09494529341328e-06
44,1.93117038e-07,1.3675766801050069e-05
45,1.93117038e-07,4.906135827701473e-06
46,1.93117038e-07,3.230782384486807e-06
47,1.93117038e-07,1.7578097707355217e-06
48,1.93117038e-07,1.0991668320958786e-06
49,1.93117038e-07,7.221237615877093e-06
0,3.06069879e-07,2.331629366037705e-06
1,3.06069879e-07,7.54295032239646e-06
2,3.06069879e-07,6.67136572152899e-06
3,3.06069879e-07,1.4593758551027291e-06
4,3.06069879e-07,8.815502562761749e-06
5,3.06069879e-07,4.6994220373457805e-06
6,3.06069879e-07,1.7902171532841597e-05
7,3.06069879e-07,5.1977264408921735e-06
8,3.06069879e-07,1.708915041311469e-05
9,3.06069879e-07,1.6663481721810743e-06
10,3.06069879e-07,1.4652752231708612e-05
11,3.06069879e-07,8.27322769699324e-06
12,3.06069879e-07,3.208640597967056e-06
13,3.06069879e-07,1.315368279572669e-06
14,3.06069879e-07,1.4780728159524956e-05
15,3.06069879e-07,1.051478673012146e-05
16,3.06069879e-07,2.2829426527982937e-05
17,3.06069879e-07,1.631929678975939e-05
18,3.06069879e-07,2.0393593066217348e-06
19,3.06069879e-07,8.847599234017963e-06
20,3.06069879e-07,1.0254651849918943e-06
21,3.06069879e-07,7.322302871250845e-06
22,3.06069879e-07,1.1238289066382166e-05
23,3.06069879e-07,1.3166481168523878e-06
24,3.06069879e-07,1.4213172327006508e-05
25,3.06069879e-07,2.168922472617425e-06
26,3.06069879e-07,1.5664520955410667e-05
27,3.06069879e-07,7.318925981706489e-06
28,3.06069879e-07,1.0142608207051094e-05
29,3.06069879e-07,2.113123015093701e-06
30,3.06069879e-07,7.327359020416946e-06
31,3.06069879e-07,1.2860377553461889e-05
32,3.06069879e-07,1.5633209380852e-05
33,3.06069879e-07,1.1339301555998093e-05
34,3.06069879e-07,5.1477462732388255e-06
35,3.06069879e-07,1.2194919119590252e-06
36,3.06069879e-07,4.5588843584430405e-06
37,3.06069879e-07,3.71303218169184e-06
38,3.06069879e-07,5.961390690244623e-07
39,3.06069879e-07,7.982929615452983e-06
40,3.06069879e-07,1.4728091928462444e-05
41,3.06069879e-07,1.5651116022808609e-06
42,3.06069879e-07,3.327727832237309e-07
43,3.06069879e-07,5.019011223752579e-05
44,3.06069879e-07,1.0907539769250562e-05
45,3.06069879e-07,2.94609710451734e-05
46,3.06069879e-07,4.8893496381477215e-06
47,3.06069879e-07,2.8596656002304726e-06
48,3.06069879e-07,3.5399441309845792e-06
49,3.06069879e-07,2.0302061215281946e-07
0,4.96369887e-07,4.981635009595608e-05
1,4.96369887e-07,1.0843092114478584e-05
2,4.96369887e-07,6.507542656106273e-05
3,4.96369887e-07,1.3373556043202383e-05
4,4.96369887e-07,3.496421054413632e-05
5,4.96369887e-07,4.894605291160441e-05
6,4.96369887e-07,6.643286300295868e-06
7,4.96369887e-07,1.3499112257419505e-08
8,4.96369887e-07,3.303996985802547e-05
9,4.96369887e-07,2.380299619079685e-05
10,4.96369887e-07,6.250635278363988e-05
11,4.96369887e-07,1.4091623047574146e-05
12,4.96369887e-07,3.907846114287453e-05
13,4.96369887e-07,4.093971290525562e-05
14,4.96369887e-07,2.554202694270681e-05
15,4.96369887e-07,4.64911818193216e-05
16,4.96369887e-07,4.448292725568413e-05
17,4.96369887e-07,1.5205988020284312e-05
18,4.96369887e-07,1.8790722287634923e-05
19,4.96369887e-07,0.0001293091304668
20,4.96369887e-07,1.9155246224115463e-05
21,4.96369887e-07,1.3389300972828618e-05
22,4.96369887e-07,7.0870837439813735e-06
23,4.96369887e-07,1.5467669824423405e-05
24,4.96369887e-07,1.5324823911268096e-05
25,4.96369887e-07,3.316465381433026e-05
26,4.96369887e-07,1.7726626484131678e-05
27,4.96369887e-07,3.723650185007806e-05
28,4.96369887e-07,1.3853937524729044e-05
29,4.96369887e-07,3.08425040673449e-05
30,4.96369887e-07,9.57067149111632e-06
31,4.96369887e-07,8.576494548191789e-06
32,4.96369887e-07,1.6205526740976664e-05
33,4.96369887e-07,8.995282756034816e-06
34,4.96369887e-07,2.9601088671257457e-05
35,4.96369887e-07,2.0394106805871095e-05
36,4.96369887e-07,4.3476663725394485e-05
37,4.96369887e-07,3.962004410596028e-06
38,4.96369887e-07,5.046817328556437e-05
39,4.96369887e-07,2.730294392832938e-05
40,4.96369887e-07,1.0394459390082536e-05
41,4.96369887e-07,5.021133360224304e-05
42,4.96369887e-07,5.162904337523588e-05
43,4.96369887e-07,8.583965601710906e-07
44,4.96369887e-07,9.091698489956894e-06
45,4.96369887e-07,7.226052971353809e-05
46,4.96369887e-07,2.845083190644705e-05
47,4.96369887e-07,4.190247379572162e-05
48,4.96369887e-07,2.9905946060886023e-05
49,4.96369887e-07,6.733951500326016e-06
0,8.96369887e-07,3.616790054760226e-05
1,8.96369887e-07,3.993882196573483e-05
2,8.96369887e-07,2.6781383420623207e-05
3,8.96369887e-07,5.445771708832677e-05
4,8.96369887e-07,2.1185617457432087e-06
5,8.96369887e-07,0.0003460750438194
6,8.96369887e-07,0.000124609721783
7,8.96369887e-07,0.0001509913334074
8,8.96369887e-07,2.583735255584918e-05
9,8.96369887e-07,3.268829039852922e-05
10,8.96369887e-07,7.369462717560572e-05
11,8.96369887e-07,3.865803512329489e-06
12,8.96369887e-07,0.0001211895229203
13,8.96369887e-07,4.2193955359679456e-05
14,8.96369887e-07,4.89265551398876e-05
15,8.96369887e-07,0.000152805628958
16,8.96369887e-07,0.0001536871034593
17,8.96369887e-07,0.0001708257176168
18,8.96369887e-07,5.862508621924599e-05
19,8.96369887e-07,0.0003460078200758
20,8.96369887e-07,4.265506498510432e-05
21,8.96369887e-07,0.0002856089044378
22,8.96369887e-07,0.000114331459797
23,8.96369887e-07,0.0001585648997076
24,8.96369887e-07,1.9963500580723095e-05
25,8.96369887e-07,0.00021584922583
26,8.96369887e-07,0.0002828627859902
27,8.96369887e-07,0.0002103211138103
28,8.96369887e-07,9.59723050711356e-05
29,8.96369887e-07,0.0001426416513157
30,8.96369887e-07,0.0001904704146261
31,8.96369887e-07,5.094205385578861e-05
32,8.96369887e-07,2.810779361052499e-05
33,8.96369887e-07,5.073558424938599e-05
34,8.96369887e-07,0.0002567723163761
35,8.96369887e-07,5.859405036913845e-05
36,8.96369887e-07,3.35054994866008e-05
37,8.96369887e-07,0.0001061429179635
38,8.96369887e-07,0.0002571577218115
39,8.96369887e-07,0.0001872920018739
40,8.96369887e-07,0.0004453151649451
41,8.96369887e-07,4.964726165570456e-05
42,8.96369887e-07,0.0002780434329593
43,8.96369887e-07,9.310044725290512e-06
44,8.96369887e-07,2.300959953300872e-05
45,8.96369887e-07,5.167552992291313e-06
46,8.96369887e-07,0.0002231796189749
47,8.96369887e-07,0.000385136693201
48,8.96369887e-07,0.0001015575302061
